"filename", "language", "TypeScript React", "SCSS", "PostCSS", "JavaScript", "TypeScript", "XML", "JSON", "comment", "blank", "total"
"c:\Users\g.maillot\source\Spotify_clone\src\component\HeaderBandPlay\HeaderBandPlay.tsx", "TypeScript React", 76, 0, 0, 0, 0, 0, 0, 5, 12, 93
"c:\Users\g.maillot\source\Spotify_clone\src\component\HeaderBandPlay\OptionPanelList.tsx", "TypeScript React", 50, 0, 0, 0, 0, 0, 0, 7, 6, 63
"c:\Users\g.maillot\source\Spotify_clone\src\component\HeaderNav\ButtonHambergerMenu.scss", "SCSS", 0, 97, 0, 0, 0, 0, 0, 0, 11, 108
"c:\Users\g.maillot\source\Spotify_clone\src\component\HeaderNav\ButtonMenuLeft.tsx", "TypeScript React", 56, 0, 0, 0, 0, 0, 0, 0, 9, 65
"c:\Users\g.maillot\source\Spotify_clone\src\component\HeaderNav\HeaderNav.stories.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\g.maillot\source\Spotify_clone\src\component\HeaderNav\HeaderNav.tsx", "TypeScript React", 290, 0, 0, 0, 0, 0, 0, 13, 26, 329
"c:\Users\g.maillot\source\Spotify_clone\src\component\HeaderNav\HeaderNavCollection.stories.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\g.maillot\source\Spotify_clone\src\component\HeaderNav\HeaderNavSearch.stories.tsx", "TypeScript React", 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"c:\Users\g.maillot\source\Spotify_clone\src\component\HeaderNav\NavLink.stories.tsx", "TypeScript React", 13, 0, 0, 0, 0, 0, 0, 1, 4, 18
"c:\Users\g.maillot\source\Spotify_clone\src\component\HeaderNav\NavLink.tsx", "TypeScript React", 43, 0, 0, 0, 0, 0, 0, 2, 7, 52
"c:\Users\g.maillot\source\Spotify_clone\src\component\Layout\Layout.stories.tsx", "TypeScript React", 17, 0, 0, 0, 0, 0, 0, 0, 9, 26
"c:\Users\g.maillot\source\Spotify_clone\src\component\Layout\Layout.tsx", "TypeScript React", 76, 0, 0, 0, 0, 0, 0, 3, 18, 97
"c:\Users\g.maillot\source\Spotify_clone\src\component\LeftMenu\LeftMenu.stories.tsx", "TypeScript React", 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"c:\Users\g.maillot\source\Spotify_clone\src\component\LeftMenu\LeftMenu.tsx", "TypeScript React", 71, 0, 0, 0, 0, 0, 0, 6, 11, 88
"c:\Users\g.maillot\source\Spotify_clone\src\component\LeftMenu\MenuLink\CreatePlaylistButton.stories.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 1, 8, 21
"c:\Users\g.maillot\source\Spotify_clone\src\component\LeftMenu\MenuLink\CreatePlaylistButton.tsx", "TypeScript React", 35, 0, 0, 0, 0, 0, 0, 2, 7, 44
"c:\Users\g.maillot\source\Spotify_clone\src\component\LeftMenu\MenuLink\EpisodeLink.stories.tsx", "TypeScript React", 12, 0, 0, 0, 0, 0, 0, 1, 7, 20
"c:\Users\g.maillot\source\Spotify_clone\src\component\LeftMenu\MenuLink\EpisodeLink.tsx", "TypeScript React", 50, 0, 0, 0, 0, 0, 0, 1, 9, 60
